Resort name,Country,Highest point,Lowest point,Child friendly,Ski pass price adult,Season,Ski map,User rating
Latemar-Obereggen-​Pampeago-​Predazzo,Italy,1.54,1.05,Yes,47,November - April,Ski map,
Lammeralm-Langenwang,Austria,1.23,980,Yes,29,December - March,Ski map,
Lachtal,Austria,2.222,1.6,Yes,41,December - April,Ski map,
Laax-​Flims-​Falera,Switzerland,3.018,1.1,Yes,68,October - April,Ski map,
La Thuile / La Rosière - Espace San Bernardo,Italy,2.641,1.176,Yes,43,December - April,Ski map,
La Tania-Val Thorens/​Les Menuires/​Méribel (Les 3 Vallées),France,3.23,1.11,Yes,61,November - May,Ski map,
La Plagne (Paradiski),France,3.167,1.207,Yes,50,December - April,Ski map,
La Norma,France,2.75,1.35,Yes,29,December - April,Ski map,
La Molina-​Masella-Alp2500,Spain,2.531,1.616,Yes,45,November - April,Ski map,
La Grave - La Meije,France,3.534,1.47,Yes,49,December - April,Ski map,
La Clusaz-​Manigod,France,2.477,1.04,Yes,37,December - April,Ski map,
La Bresse-Hohneck,France,1.35,872,Yes,29,December - depending on snow conditions,Ski map,
Kvitfjell,Norway,1.039,185,Yes,45,October - May,Ski map,
Kuühtai,Austria,2.52,1.938,Yes,37,November - April,Ski map,
Kubínska hoľa,Slovakia,1.396,720,Yes,26,December - April,Ski map,
Kronplatz (Plan de Corones),Italy,2.275,973,Yes,54,November - April,Ski map,
Kreischberg,Austria,2.118,868,Yes,44,December - April,Ski map,
Kranzberg-Mittenwald,Germany,1.35,980,Yes,29,December - depending on snow conditions,Ski map,
Kranjska Gora,Slovenia,1.215,800,Yes,33,December - April,Ski map,
Kopaonik,Serbia,2.017,1.057,Yes,30,December - April,Ski map,
Kobla-Bohinj,Slovenia,1.48,540,Yes,22,December - March,Ski map,
Klewenalp-​Stockhütte-Beckenried-​Emmetten,Switzerland,1.2,436,Yes,45,December - April,Ski map,
Kleine Scheidegg / ​Männlichen-Grindelwald / ​Wengen,Switzerland,2.32,944,Yes,55,November - April,Ski map,
Kitzsteinhorn - Kaprun,Austria,3.029,1.978,Yes,50,depending on snow conditions - July,Ski map,
Kitzbühel / Kirchberg (KitzSki),Austria,2,800,Yes,55,October - April,Ski map,
Kitzbüheler Horn,Austria,2,800,Yes,40,December - April,Ski map,
